Project,Quantity,Number,Omvang (m),Hoogte (m),Gesp/Haken,Location,Calc Omvang (m),Calc Hoogte (m),Area (m2),Price per m2 (€),Price Area (€),Label Cost (€),Total Price (€),Weight (kg)
Lostock Fabric,2,278,1.1,0.55,G,Turbine Hall,1.1300000000000001,0.5800000000000001,1.3108,190.0,249.05,4.00,253.05,9.33
Lostock Fabric,2,279,1.1,0.45,G,Turbine Hall,1.1300000000000001,0.48,1.0848,190.0,206.11,4.00,210.11,7.72
Lostock Fabric,2,280,1.1,0.68,G,Turbine Hall,1.1300000000000001,0.7100000000000001,1.6046,190.0,304.87,4.00,308.87,11.42
Lostock Fabric,1,281,1.8,0.36,G/H,Turbine Hall,1.83,0.39,0.7137,190.0,135.60,2.00,137.60,5.08
Lostock Fabric,1,281,0.57,0.57,G/H,Turbine Hall,0.6,0.6,0.3600,190.0,68.40,2.00,70.40,2.56
Lostock Fabric,1,282,0.36,0.3,H,Turbine Hall,0.39,0.32999999999999996,0.1287,190.0,24.45,2.00,26.45,0.92
Lostock Fabric,1,283,0.36,0.26,H,Turbine Hall,0.39,0.29000000000000004,0.1131,190.0,21.49,2.00,23.49,0.81
Lostock Fabric,1,284,0.36,0.46,H,Turbine Hall,0.39,0.49,0.1911,190.0,36.31,2.00,38.31,1.36
Lostock Fabric,2,285,0.66,0.28,H,Turbine Hall,0.6900000000000001,0.31000000000000005,0.4278,190.0,81.28,4.00,85.28,3.05
Lostock Fabric,1,286,1.36,0.65,G,Turbine Hall,1.3900000000000001,0.68,0.9452,190.0,179.59,2.00,181.59,6.73
Lostock Fabric,1,287,1.36,0.66,G,Turbine Hall,1.3900000000000001,0.6900000000000001,0.9591,190.0,182.23,2.00,184.23,6.83
Lostock Fabric,1,288,0.4,0.48,H,Turbine Hall,0.43000000000000005,0.51,0.2193,190.0,41.67,2.00,43.67,1.56
Lostock Fabric,2,289,0.31,0.74,H,Turbine Hall,0.33999999999999997,0.77,0.5236,190.0,99.48,4.00,103.48,3.73
Lostock Fabric,1,290,0.43,0.28,H,Turbine Hall,0.45999999999999996,0.31000000000000005,0.1426,190.0,27.09,2.00,29.09,1.02
Lostock Fabric,1,291,2.28,0.47,G/H,Turbine Hall,2.3099999999999996,0.5,1.1550,190.0,219.45,2.00,221.45,8.22
Lostock Fabric,1,291,0.73,0.73,G/H,Turbine Hall,0.76,0.76,0.5776,190.0,109.74,2.00,111.74,4.11
Lostock Fabric,2,292,0.36,0.45,H,Turbine Hall,0.39,0.48,0.3744,190.0,71.14,4.00,75.14,2.67
Lostock Fabric,3,293,0.66,0.33,H,Turbine Hall,0.6900000000000001,0.36,0.7452,190.0,141.59,6.00,147.59,5.31
Lostock Fabric,1,294,1.5,0.3,G,Turbine Hall,1.53,0.32999999999999996,0.5049,190.0,95.93,2.00,97.93,3.59
Lostock Fabric,1,294,0.48,0.48,G/H,Turbine Hall,0.51,0.51,0.2601,190.0,49.42,2.00,51.42,1.85
Lostock Fabric,2,295,0.36,0.37,H,Turbine Hall,0.39,0.4,0.3120,190.0,59.28,4.00,63.28,2.22
Lostock Fabric,1,296,1.5,0.9,G,Turbine Hall,1.53,0.93,1.4229,190.0,270.35,2.00,272.35,10.13
Lostock Fabric,1,297,1.58,0.38,G,Turbine Hall,1.61,0.41000000000000003,0.6601,190.0,125.42,2.00,127.42,4.70
Lostock Fabric,1,298,2.28,0.46,G,Turbine Hall,2.3099999999999996,0.49,1.1319,190.0,215.06,2.00,217.06,8.06
Lostock Fabric,1,298,0.73,0.73,G,Turbine Hall,0.76,0.76,0.5776,190.0,109.74,2.00,111.74,4.11
Lostock Fabric,2,299,1.25,0.28,H,Turbine Hall,1.28,0.31000000000000005,0.7936,190.0,150.78,4.00,154.78,5.65
Lostock Fabric,2,300,0.36,0.32,H,Turbine Hall,0.39,0.35,0.2730,190.0,51.87,4.00,55.87,1.94
Lostock Fabric,1,301,2.21,0.43,G/H,Turbine Hall,2.2399999999999998,0.45999999999999996,1.0304,190.0,195.78,2.00,197.78,7.34
Lostock Fabric,1,301,0.7,0.7,G,Turbine Hall,0.73,0.73,0.5329,190.0,101.25,2.00,103.25,3.79
Lostock Fabric,2,302,1.07,0.26,G/H,Turbine Hall,1.1,0.29000000000000004,0.6380,190.0,121.22,4.00,125.22,4.54
Lostock Fabric,2,302,0.34,0.34,G/H,Turbine Hall,0.37,0.37,0.2738,190.0,52.02,4.00,56.02,1.95
Lostock Fabric,1,303,2.22,0.88,G/H,Turbine Hall,2.25,0.91,2.0475,190.0,389.02,2.00,391.02,14.58
Lostock Fabric,2,303,0.71,0.71,G/H,Turbine Hall,0.74,0.74,1.0952,190.0,208.09,4.00,212.09,7.80
Lostock Fabric,2,304,2.22,0.38,G,Turbine Hall,2.25,0.41000000000000003,1.8450,190.0,350.55,4.00,354.55,13.14
Lostock Fabric,1,305,1.06,0.5,G,Turbine Hall,1.09,0.53,0.5777,190.0,109.76,2.00,111.76,4.11
Lostock Fabric,1,306,1.07,0.28,G,Turbine Hall,1.1,0.31000000000000005,0.3410,190.0,64.79,2.00,66.79,2.43
Lostock Fabric,1,306,0.34,0.34,G,Turbine Hall,0.37,0.37,0.1369,190.0,26.01,2.00,28.01,0.97
Lostock Fabric,1,308,1.07,0.25,G,Turbine Hall,1.1,0.28,0.3080,190.0,58.52,2.00,60.52,2.19
Lostock Fabric,1,309,1.82,0.29,G/H,Turbine Hall,1.85,0.31999999999999995,0.5920,190.0,112.48,2.00,114.48,4.22
Lostock Fabric,1,309,0.58,0.58,G/H,Turbine Hall,0.61,0.61,0.3721,190.0,70.70,2.00,72.70,2.65
Lostock Fabric,1,310,0.36,0.72,H,Turbine Hall,0.39,0.75,0.2925,190.0,55.57,2.00,57.57,2.08
Lostock Fabric,2,311,0.66,0.38,H,Turbine Hall,0.6900000000000001,0.41000000000000003,0.5658,190.0,107.50,4.00,111.50,4.03
Lostock Fabric,1,312,0.36,0.15,H,Turbine Hall,0.39,0.18,0.0702,190.0,13.34,2.00,15.34,0.50
Lostock Fabric,1,313,0.36,0.46,H,Turbine Hall,0.39,0.49,0.1911,190.0,36.31,2.00,38.31,1.36
Lostock Fabric,1,314,0.66,0.58,H,Turbine Hall,0.6900000000000001,0.61,0.4209,190.0,79.97,2.00,81.97,3.00
Lostock Fabric,2,315,1.8,0.5,G/H,Turbine Hall,1.83,0.53,1.9398,190.0,368.56,4.00,372.56,13.81
Lostock Fabric,2,315,0.57,0.57,G/H,Turbine Hall,0.6,0.6,0.7200,190.0,136.80,4.00,140.80,5.13
Lostock Fabric,2,316,0.36,0.46,H,Turbine Hall,0.39,0.49,0.3822,190.0,72.62,4.00,76.62,2.72
Lostock Fabric,2,317,0.36,0.16,H,Turbine Hall,0.39,0.19,0.1482,190.0,28.16,4.00,32.16,1.06
Lostock Fabric,2,318,0.66,0.18,H,Turbine Hall,0.6900000000000001,0.21,0.2898,190.0,55.06,4.00,59.06,2.06
Lostock Fabric,2,318,0.21,0.21,H,Turbine Hall,0.24,0.24,0.1152,190.0,21.89,4.00,25.89,0.82
Lostock Fabric,1,320,1.75,0.4,G/H,Turbine Hall,1.78,0.43000000000000005,0.7654,190.0,145.43,2.00,147.43,5.45
Lostock Fabric,1,320,0.56,0.56,G/H,Turbine Hall,0.5900000000000001,0.5900000000000001,0.3481,190.0,66.14,2.00,68.14,2.48
Lostock Fabric,1,322,1.81,0.54,G/H,Turbine Hall,1.84,0.5700000000000001,1.0488,190.0,199.27,2.00,201.27,7.47
